id,P,R,F1
0,0.808059,0.881452,0.843161
1,0.811394,0.888419,0.848161
2,0.804662,0.890918,0.845596
3,0.811770,0.890844,0.849471
4,0.802671,0.880522,0.839796
5,0.811107,0.883828,0.845907
6,0.802912,0.885273,0.842084
7,0.805233,0.897439,0.848839
8,0.807728,0.888199,0.846054
9,0.817892,0.881268,0.848398
10,0.803771,0.884262,0.842098
11,0.805128,0.890910,0.845850
12,0.826035,0.897534,0.860301
13,0.812274,0.895136,0.851694
14,0.815154,0.887480,0.849781
15,0.815085,0.884928,0.848572
16,0.815361,0.898308,0.854827
17,0.797402,0.884900,0.838876
18,0.793778,0.870328,0.830293
19,0.814871,0.884966,0.848473
20,0.810913,0.885398,0.846520
21,0.813554,0.895448,0.852539
22,0.802627,0.874809,0.837165
23,0.815269,0.892891,0.852316
24,0.816401,0.892312,0.852670
25,0.806223,0.883914,0.843283
26,0.802996,0.879865,0.839675
27,0.792199,0.881179,0.834323
28,0.806563,0.885498,0.844189
29,0.808421,0.897534,0.850650
30,0.816342,0.871306,0.842929
31,0.801470,0.890470,0.843629
32,0.801237,0.879030,0.838333
33,0.799909,0.879594,0.837861
34,0.803861,0.883452,0.841779
35,0.788727,0.873321,0.828871
36,0.797550,0.866703,0.830690
37,0.818801,0.895507,0.855438
38,0.801241,0.883865,0.840527
39,0.821090,0.882227,0.850561
40,0.810084,0.903623,0.854301
41,0.812736,0.894665,0.851735
42,0.815032,0.886835,0.849419
43,0.804482,0.873219,0.837442
44,0.811529,0.881155,0.844910
45,0.813684,0.881874,0.846408
46,0.806276,0.884605,0.843626
47,0.817612,0.896406,0.855198
48,0.799287,0.878890,0.837201
49,0.809183,0.890977,0.848112
50,0.798375,0.882181,0.838188
51,0.820215,0.896194,0.856523
52,0.796726,0.884223,0.838197
53,0.803500,0.873653,0.837109
54,0.813114,0.887943,0.848883
55,0.800555,0.879889,0.838350
56,0.803034,0.890461,0.844491
57,0.802206,0.881300,0.839895
58,0.807672,0.894572,0.848903
59,0.807890,0.886716,0.845470
60,0.809404,0.881911,0.844103
61,0.801792,0.883427,0.840632
62,0.815373,0.880985,0.846910
63,0.795682,0.890128,0.840259
64,0.806672,0.882042,0.842675
65,0.822231,0.893692,0.856474
66,0.819597,0.885628,0.851334
67,0.810088,0.890574,0.848426
68,0.809290,0.894288,0.849669
69,0.806004,0.889178,0.845551
70,0.815260,0.888105,0.850125
71,0.810456,0.880655,0.844099
72,0.808374,0.887625,0.846148
73,0.827588,0.905080,0.864601
74,0.795113,0.887696,0.838858
75,0.803320,0.882690,0.841137
76,0.807172,0.904009,0.852851
77,0.819371,0.887513,0.852081
78,0.801585,0.888368,0.842748
79,0.815837,0.892627,0.852506
80,0.820025,0.891076,0.854075
81,0.811059,0.887574,0.847593
82,0.813557,0.890089,0.850104
83,0.812341,0.884758,0.847004
84,0.814290,0.886284,0.848763
85,0.813108,0.888160,0.848979
86,0.799774,0.880911,0.838384
87,0.798795,0.869339,0.832576
88,0.806796,0.891356,0.846970
89,0.795292,0.869761,0.830861
90,0.803958,0.882671,0.841478
91,0.811512,0.894306,0.850900
92,0.811730,0.893851,0.850814
93,0.810467,0.898629,0.852274
94,0.811049,0.889279,0.848364
95,0.821886,0.899046,0.858736
96,0.792235,0.878531,0.833154
97,0.807022,0.882179,0.842929
98,0.809167,0.904624,0.854237
99,0.816472,0.886015,0.849823
