id,Overlap,LCS,TF-IDF
0,0.435065,0.372760,0.586457
1,0.450704,0.311573,0.742729
2,0.325301,0.297214,0.625975
3,0.376543,0.326007,0.557689
4,0.377049,0.330769,0.658604
5,0.362069,0.293413,0.591805
6,0.462585,0.403704,0.641405
7,0.322581,0.251969,0.574329
8,0.326203,0.303621,0.477076
9,0.460000,0.410448,0.651796
10,0.402878,0.371212,0.596198
11,0.290909,0.264516,0.588599
12,0.432432,0.348123,0.600034
13,0.439394,0.330677,0.594481
14,0.385366,0.327320,0.544724
15,0.473404,0.354756,0.682897
16,0.306122,0.271242,0.666077
17,0.310734,0.207602,0.606998
18,0.358586,0.280749,0.454170
19,0.395683,0.233438,0.675526
20,0.426471,0.376623,0.722938
21,0.386861,0.341549,0.527581
22,0.392857,0.353591,0.546668
23,0.422360,0.298077,0.596919
24,0.333333,0.313559,0.651031
25,0.414634,0.294985,0.476522
26,0.411765,0.336391,0.466611
27,0.311765,0.274834,0.422278
28,0.361290,0.251282,0.654307
29,0.394737,0.368056,0.538933
30,0.378238,0.319307,0.633866
31,0.412214,0.257225,0.791502
32,0.470588,0.388715,0.658331
33,0.327684,0.260997,0.549602
34,0.372340,0.289673,0.590333
35,0.458101,0.374603,0.675891
36,0.414013,0.374570,0.546763
37,0.367232,0.285276,0.641141
38,0.421348,0.346269,0.594911
39,0.316092,0.263158,0.621073
40,0.329114,0.223926,0.543036
41,0.354839,0.303571,0.533892
42,0.407895,0.320690,0.637586
43,0.347150,0.276596,0.552362
44,0.352601,0.278552,0.493443
45,0.505952,0.383041,0.545164
46,0.528662,0.426230,0.645951
47,0.350785,0.255263,0.629128
48,0.431250,0.379085,0.676237
49,0.363636,0.258065,0.642463
50,0.379121,0.333333,0.557224
51,0.405594,0.358696,0.655118
52,0.360215,0.308743,0.595387
53,0.435065,0.385965,0.687037
54,0.384615,0.302260,0.561648
55,0.409091,0.373016,0.570298
56,0.381579,0.283333,0.553861
57,0.491228,0.458333,0.527487
58,0.394737,0.406475,0.650349
59,0.415094,0.330986,0.565349
60,0.412587,0.296636,0.659238
61,0.442424,0.406250,0.588475
62,0.443750,0.300000,0.569623
63,0.401515,0.340517,0.560337
64,0.396135,0.330073,0.576719
65,0.464000,0.353791,0.739399
66,0.351931,0.299492,0.666099
67,0.345679,0.303951,0.608983
68,0.333333,0.260000,0.511746
69,0.383333,0.292264,0.601438
70,0.411392,0.356618,0.685070
71,0.468571,0.410714,0.455355
72,0.358140,0.280928,0.607364
73,0.327778,0.293629,0.555015
74,0.398936,0.318421,0.581605
75,0.417808,0.320690,0.564284
76,0.364286,0.301587,0.542877
77,0.337662,0.236364,0.583102
78,0.411348,0.329749,0.557754
79,0.413793,0.375000,0.560651
80,0.308824,0.285012,0.556540
81,0.357143,0.303333,0.476803
82,0.336634,0.277922,0.639020
83,0.496454,0.362319,0.626172
84,0.400000,0.337802,0.620602
85,0.404959,0.259939,0.616524
86,0.273256,0.254545,0.596932
87,0.350515,0.280347,0.445577
88,0.359375,0.278090,0.629937
89,0.364583,0.315493,0.579113
90,0.412162,0.344086,0.656161
91,0.455782,0.364341,0.700765
92,0.263959,0.226562,0.444846
93,0.409639,0.437681,0.643197
94,0.373206,0.321513,0.597288
95,0.448980,0.418972,0.616337
96,0.331683,0.277108,0.452221
97,0.321839,0.286145,0.512583
98,0.384106,0.342593,0.609608
99,0.405797,0.332031,0.494551
